region_name_policy,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes
Andalusia,Ingreso Mínimo de Solidaridad,1,406.22,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,2,406.22,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,3,458.64,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,4,511.06,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,5,563.48,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,6,615.9,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Andalusia,Ingreso Mínimo de Solidaridad,7,655.2,655.2,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Aragon,Ingreso Aragonés de Inserción,1,472.0,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,2,613.6,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,3,708.0,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,4,802.4,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,5,849.6,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Aragon,Ingreso Aragonés de Inserción,6,896.8,896.8,size_schedule,true,true,Apply cap at 896.80,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80
Asturias,Salario Social Básico,1,442.96,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,2,540.41,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,3,611.28,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,4,682.14,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,5,713.16,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Asturias,Salario Social Básico,6,730.88,730.88,size_schedule,true,true,Possible extra increase in disability/dependency cases not simulated,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases
Balearic Islands,Renta Social Garantizada,1,430.36,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,2,430.36,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,3,559.47,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,4,645.54,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,5,688.58,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,6,731.61,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Balearic Islands,Renta Social Garantizada,7,774.65,776.58,size_schedule,true,true,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption
Canary Islands,Prestación Canaria de Inserción,1,476.88,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,2,476.88,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,3,539.63,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,4,589.83,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,5,621.2,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,6,646.3,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Canary Islands,Prestación Canaria de Inserción,7,665.13,665.13,size_schedule,true,true,IPREM-based unit-size schedule; 7+ treated as top bracket / cap.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad convivencial; all employable members must be registered as jobseekers.
Cantabria,Renta Social Básica,1,430.27,672.3,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Cantabria,Renta Social Básica,2,430.27,672.3,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Cantabria,Renta Social Básica,3,537.84,672.3,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Cantabria,Renta Social Básica,4,591.63,672.3,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Cantabria,Renta Social Básica,5,650.79,672.3,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,1,420.42,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,2,420.42,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,3,470.87,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,4,521.32,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,5,571.77,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,6,622.22,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,7,672.67,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla-La Mancha,Ingreso Mínimo de Solidaridad,8,723.12,723.12,size_schedule,true,true,Family-size table; 8-member amount explicitly listed.,Dato sulla RMI 2017.pdf - Cuadro 2,Unidad familiar; report does not provide full legal mapping from survey household to benefit unit.
Castilla y Leon,Renta Garantizada de Ciudadanía,1,430.27,699.19,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Castilla y Leon,Renta Garantizada de Ciudadanía,2,537.84,699.19,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Castilla y Leon,Renta Garantizada de Ciudadanía,3,602.38,699.19,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Castilla y Leon,Renta Garantizada de Ciudadanía,4,645.41,699.19,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Castilla y Leon,Renta Garantizada de Ciudadanía,5,688.44,699.19,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Castilla y Leon,Renta Garantizada de Ciudadanía,6,699.19,699.19,size_schedule,true,true,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update
Catalonia,Renta Garantizada de Ciudadanía (RGC),1,564.0,1062.0,size_schedule,true,true,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward
Catalonia,Renta Garantizada de Ciudadanía (RGC),2,836.0,1062.0,size_schedule,true,true,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward
Catalonia,Renta Garantizada de Ciudadanía (RGC),3,909.0,1062.0,size_schedule,true,true,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward
Catalonia,Renta Garantizada de Ciudadanía (RGC),4,982.0,1062.0,size_schedule,true,true,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward
Catalonia,Renta Garantizada de Ciudadanía (RGC),5,1062.0,1062.0,size_schedule,true,true,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward
Ceuta,Ingreso Mínimo de Inserción Social,1,300.0,420.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Ceuta,Ingreso Mínimo de Inserción Social,2,330.0,420.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Ceuta,Ingreso Mínimo de Inserción Social,3,360.0,420.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Ceuta,Ingreso Mínimo de Inserción Social,4,390.0,420.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Ceuta,Ingreso Mínimo de Inserción Social,5,420.0,420.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,1,430.27,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,2,430.27,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,3,537.84,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,4,591.62,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,5,645.41,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,6,672.3,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Extremadura,Renta Básica Extremeña de Inserción,7,699.19,726.08,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Galicia,Renta de Inclusión Social (RISGA),1,403.38,726.08,size_schedule,true,true,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic
Galicia,Renta de Inclusión Social (RISGA),2,478.68,726.08,size_schedule,true,true,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic
Galicia,Renta de Inclusión Social (RISGA),3,543.22,726.08,size_schedule,true,true,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic
Galicia,Renta de Inclusión Social (RISGA),4,597.0,726.08,size_schedule,true,true,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic
Madrid,Renta Mínima de Inserción,1,400.0,707.7,size_schedule,true,true,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap
Madrid,Renta Mínima de Inserción,2,512.67,707.7,size_schedule,true,true,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap
Madrid,Renta Mínima de Inserción,3,587.78,707.7,size_schedule,true,true,Partial schedule; larger sizes use cap,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; larger sizes use cap
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,1,458.64,764.4,size_schedule,true,true,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,2,535.08,764.4,size_schedule,true,true,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,3,611.52,764.4,size_schedule,true,true,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,4,687.96,764.4,size_schedule,true,true,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017
Melilla,Ingreso Melillense de Integración / Prestación Básica Familiar,5,764.4,764.4,size_schedule,true,true,Combined representation for 2017,Dato sulla RMI 2017.pdf - Cuadro 13 notes,Combined representation for 2017
Murcia,Renta Básica de Inserción,1,430.27,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,2,430.27,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,3,537.84,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,4,591.62,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,5,644.4,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,6,687.43,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,7,730.46,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Murcia,Renta Básica de Inserción,8,806.76,806.76,size_schedule,true,true,Using reported Murcia schedule as operational proxy; 8+ treated as top bracket/cap.,Informe_2018.pdf - Cuadro 2 / informe-rrmm-19.pdf - Cuadro 3-4,Operational proxy for pre-2020 simulation; Murcia treated as listed schedule region instead of excluded formula region.
Navarra,Renta Garantizada,1,600.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Navarra,Renta Garantizada,2,600.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Navarra,Renta Garantizada,3,810.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Navarra,Renta Garantizada,4,960.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Navarra,Renta Garantizada,5,1050.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Navarra,Renta Garantizada,6,1140.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Navarra,Renta Garantizada,7,1200.0,1200.0,size_schedule,true,true,,Dato sulla RMI 2017.pdf - Cuadro 2,
Basque Country,Renta de Garantía de Ingresos,1,634.97,901.94,size_schedule,true,true,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts
Basque Country,Renta de Garantía de Ingresos,2,634.97,901.94,size_schedule,true,true,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts
Basque Country,Renta de Garantía de Ingresos,3,815.36,901.94,size_schedule,true,true,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts
Basque Country,Renta de Garantía de Ingresos,4,901.94,901.94,size_schedule,true,true,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts
La Rioja,Renta de Ciudadanía,1,430.27,672.3,size_schedule,true,true,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward
La Rioja,Renta de Ciudadanía,2,537.84,672.3,size_schedule,true,true,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward
La Rioja,Renta de Ciudadanía,3,618.52,672.3,size_schedule,true,true,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward
La Rioja,Renta de Ciudadanía,4,672.3,672.3,size_schedule,true,true,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward
Valencia,Renta Garantizada de Ciudadanía,1,388.51,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,2,388.51,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,3,419.84,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,4,438.64,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,5,457.44,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,6,476.24,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,7,495.04,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
Valencia,Renta Garantizada de Ciudadanía,8,513.84,623.03,size_schedule,true,true,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies
